,All people,Males,Females,Lives in a household,Lives in a communal establishment,Schoolchild or full-time student aged 4 and over at their non term-time address,Area (hectares),Density (number of persons per hectare)
Scotland,"5,295,403","2,567,444","2,727,959","5,196,386","99,017","41,551","7,793,711",0.68
Aberdeen City,"222,793","110,122","112,671","214,243","8,550","1,530","18,571",12
Aberdeenshire,"252,973","125,269","127,704","250,471","2,502","2,891","631,261",0.4
Angus,"115,978","56,206","59,772","114,445","1,533","1,016","218,179",0.53
Argyll & Bute,"88,166","43,140","45,026","85,694","2,472","1,362","690,947",0.13
Clackmannanshire,"51,442","25,109","26,333","50,439","1,003",469,"15,864",3.24
Dumfries & Galloway,"151,324","73,405","77,919","149,341","1,983","1,810","642,620",0.24
Dundee City,"147,268","70,706","76,562","142,101","5,167",742,"5,978",24.64
East Ayrshire,"122,767","59,389","63,378","121,306","1,461",612,"126,212",0.97
East Dunbartonshire,"105,026","50,583","54,443","104,431",595,824,"17,449",6.02
East Lothian,"99,717","47,873","51,844","97,819","1,898","1,191","67,918",1.47
East Renfrewshire,"90,574","43,165","47,409","89,988",586,687,"17,379",5.21
"Edinburgh, City of","476,626","232,364","244,262","462,334","14,292","4,746","26,333",18.1
Eilean Siar,"27,684","13,668","14,016","27,318",366,487,"305,950",0.09
Falkirk,"155,990","76,150","79,840","154,192","1,798",710,"29,736",5.25
Fife,"365,198","176,943","188,255","357,440","7,758","3,297","132,486",2.76
Glasgow City,"593,245","286,076","307,169","578,251","14,994","1,828","17,468",33.96
Highland,"232,132","113,471","118,661","228,364","3,768","3,363","2,568,389",0.09
Inverclyde,"81,485","38,999","42,486","80,261","1,224",418,"16,044",5.08
Midlothian,"83,187","40,071","43,116","82,257",930,498,"35,369",2.35
Moray,"93,295","45,941","47,354","91,203","2,092","1,190","223,756",0.42
North Ayrshire,"138,146","65,804","72,342","136,609","1,537",722,"88,534",1.56
North Lanarkshire,"337,727","163,382","174,345","335,317","2,410",849,"46,991",7.19
Orkney Islands,"21,349","10,566","10,783","21,151",198,446,"98,980",0.22
Perth & Kinross,"146,652","71,443","75,209","142,139","4,513","2,011","528,558",0.28
Renfrewshire,"174,908","84,109","90,799","172,717","2,191",712,"26,194",6.68
Scottish Borders,"113,870","55,160","58,710","112,589","1,281","1,728","473,174",0.24
Shetland Islands,"23,167","11,761","11,406","22,981",186,445,"146,665",0.16
South Ayrshire,"112,799","53,732","59,067","111,270","1,529","1,083","122,198",0.92
South Lanarkshire,"313,830","150,858","162,972","310,501","3,329","1,374","177,189",1.77
Stirling,"90,247","43,240","47,007","85,874","4,373","1,230","218,697",0.41
West Dunbartonshire,"90,720","43,183","47,537","90,028",692,240,"15,876",5.71
West Lothian,"175,118","85,556","89,562","173,312","1,806","1,040","42,749",4.1
